host_since,host_identity_verified,neighbourhood,property_type,room_type,bed_type,cancellation_policy,host_listings_count,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,latitude,longitude,days,needsIndex,price
2011-04-15,TRUE,Niagara,Townhouse,Entire home/apt,Real Bed,moderate,1,5,2,3,3,400,75,50.00,3,97,100,1.61,43.64457885,-79.41021776,2733,0.829436438,229.00
2011-04-18,TRUE,Toronto Islands,House,Entire home/apt,Real Bed,moderate,1,5,1,2,3,750,75,100.00,3,53,99,0.6,43.63266189,-79.35615787,2730,0.664940375,300.00
2011-01-16,TRUE,Riverdale,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,6,2,2,2,500,50,25.00,5,17,98,0.19,43.66526606,-79.32934372,2822,0.863683033,175.00
2011-03-21,TRUE,The Annex,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,350,60,0.00,2,5,100,0.14,43.67175121,-79.40398465,2758,0.605980562,160.00
2011-05-10,FALSE,High Park North,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,3,2,1,1,1,200,65,0.00,120,12,98,0.15,43.65622988,-79.46666904,2708,0.605980562,56.00
2011-05-10,TRUE,Downtown Toronto,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,0,75,0.00,6,30,90,0.33,43.64122581,-79.39338589,2708,0.731778843,102.00
2010-07-20,FALSE,Parkdale,House,Entire home/apt,Real Bed,strict_14_with_grace_period,3,5,1,2,2,0,125,25.00,28,76,96,0.85,43.63559259,-79.44047779,3002,0.674915526,250.00
2011-05-20,FALSE,Trinity-Bellwoods,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,0,57.72810448,0.00,2,86,86,1.15,43.65274455,-79.4210614,2698,0.713114205,91.00
2011-05-22,FALSE,Danforth Village,Apartment,Entire home/apt,Real Bed,moderate,1,3,1,1,1,0,10,15.00,3,94,94,1.42,43.68872499,-79.32989656,2696,0.694313126,79.00
2011-05-26,TRUE,Yonge Eglinton,Apartment,Private room,Real Bed,flexible,1,2,1,2,1,0,0,0.00,1,119,94,1.38,43.70370425,-79.40820377,2692,0.643217553,59.00
2011-05-19,TRUE,Niagara,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,2,2,1,1,1,800,57.72810448,40.00,180,3,87,0.08,43.6363314,-79.40075796,2699,0.713114205,70.00
2010-06-22,TRUE,Palmerston/Little Italy,House,Entire home/apt,Real Bed,strict_14_with_grace_period,2,6,1.5,3,3,250,125,50.00,5,10,95,0.12,43.65780963,-79.42065224,3030,0.713114205,241.00
2011-05-19,TRUE,Garden District,Apartment,Private room,Real Bed,moderate,1,2,1,1,1,119,11,11.00,2,254,98,3.52,43.65686888,-79.37495118,2699,0.805421972,83.00
2011-06-07,FALSE,Little Portugal,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,4,1,3,4,0,80,0.00,3,5,100,0.06,43.64775522,-79.42709258,2680,0.476334589,180.00
2011-03-11,TRUE,Entertainment District,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,3,1,1,1,0,100,0.00,6,7,97,0.08,43.64550943,-79.39274284,2768,0.605980562,120.00
2011-06-19,FALSE,Saint Lawrence,Townhouse,Private room,Real Bed,moderate,2,1,1,1,1,0,57.72810448,13.00,3,22,97,0.25,43.64835468,-79.36301772,2668,0.703663971,78.00
2011-06-05,TRUE,Swansea,House,Entire home/apt,Real Bed,moderate,1,2,1,1,1,250,70,0.00,4,29,98,0.38,43.64617568,-79.4883263,2682,0.713114205,80.00
2011-06-23,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,4,2,2,2,300,150,50.00,3,49,90,0.56,43.64366054,-79.39154741,2664,0.760408209,250.00
2011-06-26,TRUE,Rosedale,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,2,300,50,0.00,180,67,96,0.77,43.67039482,-79.38578279,2661,0.684936731,93.00
2011-07-08,TRUE,Kensington Market,Apartment,Private room,Futon,strict_14_with_grace_period,1,2,1,1,1,0,30,20.00,1,120,94,1.37,43.65557192,-79.40018609,2649,0.750769534,100.00
2011-07-12,TRUE,Willowdale,Condominium,Shared room,Real Bed,flexible,1,1,1,1,1,0,100,20.00,1,0,92,0,43.76329111,-79.41104876,2645,0.788070176,50.00
2011-07-23,FALSE,Downsview,House,Private room,Real Bed,moderate,1,2,1,1,1,0,20,20.00,2,15,97,0.3,43.74110146,-79.48615837,2634,0.731778843,80.00
2011-04-29,FALSE,Scarborough City Centre,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,2,4,1,2,2,200,80,10.00,2,0,92,0,43.78076489,-79.24787863,2719,0.589558077,80.00
2011-05-15,TRUE,Cedarvale Humewood,House,Entire home/apt,Real Bed,strict_14_with_grace_period,2,2,1,1,1,150,150,40.00,30,20,95,0.25,43.6868332,-79.42274261,2703,0.750769534,96.00
2011-07-27,FALSE,The Beaches,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,4,1.5,2,2,0,57.72810448,0.00,120,9,100,0.1,43.67254316,-79.30022891,2630,0.643217553,180.00
2010-08-19,TRUE,Davisville,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,3,1,1,1,500,100,90.00,1,0,92,0,43.69653591,-79.39468177,2972,0.674915526,149.00
2011-06-02,FALSE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,5,4,1,2,2,3000,70,20.00,90,56,98,0.65,43.66931961,-79.38525263,2685,0.654151605,189.00
2011-07-31,FALSE,Cliffside,Apartment,Entire home/apt,Pull-out Sofa,moderate,3,3,1,1,2,150,59,17.00,5,3,93,0.84,43.70363296,-79.24850419,2626,0.760408209,59.00
2011-08-04,TRUE,Roncesvalles,Apartment,Entire home/apt,Real Bed,moderate,3,4,1,2,2,500,50,25.00,5,20,93,0.3,43.64557504,-79.44938207,2622,0.694313126,166.00
2011-04-25,FALSE,The Junction,Guest suite,Entire home/apt,Real Bed,strict_14_with_grace_period,2,3,1,2,2,200,50,20.00,4,98,98,1.14,43.66596562,-79.47387864,2723,0.674915526,94.00
2011-04-18,TRUE,Parkdale,Condominium,Private room,Real Bed,strict_14_with_grace_period,1,1,2,2,2,250,57.72810448,0.00,29,1,100,0.02,43.64217483,-79.42847595,2730,0.654151605,48.00
2011-08-11,TRUE,Oakridge,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,500,75,100.00,7,12,98,0.46,43.69446521,-79.28793742,2615,0.829436438,65.00
2011-08-19,FALSE,Wychwood Park,House,Entire home/apt,Real Bed,moderate,2,6,1,3,1,500,50,50.00,6,21,92,0.25,43.67539736,-79.42061797,2607,0.605980562,199.00
2011-08-24,TRUE,Stonegate-Queensway,Bungalow,Private room,Real Bed,moderate,3,2,1,1,1,0,25,28.00,1,19,97,0.25,43.63978279,-79.5047274,2602,0.750769534,65.00
2011-08-25,FALSE,Little Portugal,House,Entire home/apt,Real Bed,moderate,2,4,2,2,2,400,80,30.00,4,17,94,0.21,43.64588634,-79.43463717,2601,0.55691431,250.00
2011-09-08,TRUE,Downtown Toronto,Bed and breakfast,Private room,Real Bed,strict_14_with_grace_period,29,3,2.5,1,2,150,57.72810448,25.00,2,13,90,0.15,43.66739666,-79.38082934,2587,0.540691979,87.00
2011-09-16,TRUE,Riverdale,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,3,6,1.5,3,3,300,100,0.00,2,15,81,0.39,43.67523472,-79.34626585,2579,0.619765611,225.00
2011-09-16,FALSE,Garden District,House,Private room,Real Bed,strict_14_with_grace_period,2,2,1,1,1,0,60,20.00,7,17,98,0.43,43.66167805,-79.37937137,2579,0.643217553,85.00
2011-06-21,FALSE,Woodbine/Lumsden,Apartment,Entire home/apt,Pull-out Sofa,strict_14_with_grace_period,7,2,1,0,1,200,35,0.00,3,28,92,0.37,43.68882104,-79.31402882,2666,0.770066708,65.00
2011-08-07,TRUE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,moderate,4,4,2,2,2,800,80,0.00,3,55,98,0.67,43.66770796,-79.3767909,2619,0.713114205,400.00
2011-09-23,TRUE,Niagara,Townhouse,Entire home/apt,Real Bed,strict_14_with_grace_period,1,5,1,2,3,350,0,0.00,5,10,93,0.16,43.63478659,-79.39957488,2572,0.674915526,275.00
2011-09-26,FALSE,Dovercourt Park,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,1,1,500,35,20.00,2,0,92,0,43.66822712,-79.43594159,2569,0.589558077,100.00
2011-09-24,TRUE,Studio District,Guesthouse,Entire home/apt,Real Bed,flexible,1,3,1,1,2,0,35,40.00,1,21,96,6.85,43.65766349,-79.33866005,2571,0.760408209,140.00
2011-01-16,TRUE,The Annex,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,70,50.00,28,18,92,0.28,43.66762622,-79.40683329,2822,0.722408935,94.00
2011-10-17,FALSE,Fairbank,House,Entire home/apt,Real Bed,moderate,5,3,1,2,2,200,63,27.00,2,77,90,0.95,43.68203222,-79.45852346,2548,0.850989199,56.00
2011-10-17,FALSE,Fairbank,House,Entire home/apt,Real Bed,moderate,5,4,1,1,3,200,69,25.00,2,45,90,0.61,43.68304359,-79.45867936,2548,0.857380442,49.00
2011-10-17,FALSE,Fairbank,House,Private room,Real Bed,strict_14_with_grace_period,5,2,1,1,1,200,51,19.00,2,13,100,0.17,43.68218931,-79.45994772,2548,0.902599013,38.00
2011-10-21,FALSE,The Annex,Apartment,Private room,Real Bed,moderate,1,1,1,1,1,200,50,25.00,5,18,99,0.33,43.66564567,-79.41347667,2544,0.55691431,65.00
2011-11-03,FALSE,Garden District,House,Private room,Real Bed,strict_14_with_grace_period,10,5,1,1,3,259,57.72810448,13.00,1,69,88,0.82,43.65626886,-79.37115534,2531,0.492153407,63.00
2011-11-05,TRUE,Saint Lawrence,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,2,2,1,0,1,100,50,0.00,30,101,93,1.35,43.65095989,-79.3675921,2529,0.770066708,102.00
2011-11-03,FALSE,Garden District,House,Private room,Real Bed,strict_14_with_grace_period,10,5,1,1,3,193,57.72810448,13.00,1,87,85,1.06,43.65551306,-79.3713339,2531,0.63241182,129.00
2011-11-11,TRUE,Niagara,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,400,57.72810448,0.00,30,3,100,0.19,43.64047119,-79.41491482,2523,0.779336398,105.00
2011-10-19,TRUE,Roncesvalles,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,4,1,2,2,250,30,10.00,7,7,86,0.19,43.6446349,-79.44352778,2546,0.643217553,120.00
2011-11-15,FALSE,Broadview North,Condominium,Private room,Real Bed,flexible,1,1,1,1,1,150,20,0.00,1,0,92,0,43.68790329,-79.35268336,2519,0.573028442,75.00
2011-11-15,FALSE,Deer Park,Apartment,Entire home/apt,Real Bed,flexible,1,5,2,3,3,388,57.72810448,0.00,7,0,92,0,43.68435866,-79.40053075,2519,0.589558077,194.00
2011-11-16,FALSE,Harbourfront,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,5,4,1,1,1,500,60,25.00,180,79,98,0.96,43.64248085,-79.37502448,2518,0.750769534,189.00
2011-11-20,FALSE,Garden District,Apartment,Private room,Pull-out Sofa,moderate,1,2,1,1,1,300,50,0.00,3,17,99,0.21,43.66071039,-79.3825872,2514,0.857380442,65.00
2011-11-15,TRUE,Downtown Toronto,Apartment,Private room,Real Bed,moderate,1,1,1,1,1,259,57.72810448,0.00,2,0,92,0,43.660498,-79.38057141,2519,0.476334589,172.00
2011-11-21,FALSE,Palmerston/Little Italy,House,Entire home/apt,Real Bed,strict_14_with_grace_period,8,4,2,2,2,1000,150,65.00,2,31,97,2.51,43.6602271,-79.40935184,2513,0.796838794,252.00
2011-11-03,FALSE,Downtown Toronto,House,Private room,Real Bed,strict_14_with_grace_period,10,2,1,1,1,200,57.72810448,10.00,2,134,82,1.62,43.658306,-79.36884555,2531,0.63241182,75.00
2011-12-06,TRUE,Downtown Toronto,Apartment,Private room,Real Bed,strict_14_with_grace_period,1,1,1,1,1,200,75,0.00,3,16,97,0.2,43.65481477,-79.39696903,2498,0.619765611,135.00
2011-11-03,FALSE,Garden District,House,Private room,Real Bed,strict_14_with_grace_period,10,2,1,2,1,129,57.72810448,13.00,1,35,84,0.42,43.65651761,-79.37268729,2531,0.694313126,84.00
2011-08-09,TRUE,Riverdale,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,1,1,1,1,300,50,50.00,1,0,92,0,43.66351287,-79.33246091,2617,0.664940375,150.00
2011-06-13,FALSE,The Westway,House,Private room,Real Bed,flexible,2,2,1,1,2,0,57.72810448,0.00,1,2,100,0.11,43.69142646,-79.54383782,2674,0.540691979,100.00
2011-11-03,TRUE,Downtown Toronto,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,6,2,2,4,500,220,0.00,7,12,92,0.19,43.67093066,-79.37298026,2531,0.857380442,125.00
2011-10-10,TRUE,Niagara,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,0,85,35.00,6,85,99,1.06,43.64294372,-79.41037516,2555,0.829436438,147.00
2011-05-09,TRUE,Kensington Market,Apartment,Private room,Real Bed,strict_14_with_grace_period,6,2,0,1,1,0,100,25.00,1,2,100,0.03,43.65504272,-79.40017324,2709,0.492153407,200.00
2011-07-12,FALSE,Dufferin Grove,Bed and breakfast,Private room,Real Bed,strict_14_with_grace_period,3,4,1,1,1,0,57.72810448,18.00,2,9,98,0.12,43.65700076,-79.44805823,2645,0.508212521,72.00
2011-09-04,FALSE,Entertainment District,Apartment,Entire home/apt,Real Bed,moderate,4,2,1,0,1,300,70,0.00,28,42,100,0.52,43.64221641,-79.37987242,2591,0.939031475,94.00
2012-01-10,TRUE,Davisville,Apartment,Shared room,Futon,moderate,2,2,1,1,2,0,57.72810448,25.00,1,85,97,1.06,43.70926045,-79.37706739,2463,0.684936731,40.00
2011-07-12,FALSE,Dufferin Grove,House,Private room,Real Bed,flexible,3,4,1,1,1,0,57.72810448,23.00,2,21,92,0.27,43.65674306,-79.44785517,2645,0.654151605,91.00
2012-01-16,FALSE,The Pocket,House,Private room,Real Bed,strict_14_with_grace_period,1,1,1,1,1,0,57.72810448,0.00,28,28,100,0.37,43.67728057,-79.33584973,2457,0.770066708,49.00
2011-07-12,FALSE,Dufferin Grove,House,Private room,Real Bed,strict_14_with_grace_period,3,3,3,1,1,0,57.72810448,18.00,2,22,95,0.3,43.65699916,-79.44783756,2645,0.664940375,85.00
2012-01-28,FALSE,High Park North,House,Entire home/apt,Real Bed,moderate,1,8,2,4,3,0,57.72810448,0.00,5,0,92,0,43.66205292,-79.45609556,2445,0.589558077,260.00
2012-02-01,FALSE,Broadview North,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,400,57.72810448,35.00,30,92,96,1.17,43.68462277,-79.34896365,2441,0.605980562,131.00
2011-11-09,TRUE,Riverdale,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,6,1,2,3,450,80,15.00,3,122,95,1.52,43.66712436,-79.33678341,2525,0.863683033,178.00
2012-02-12,TRUE,Parkdale,Loft,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,0,1,250,30,0.00,2,160,98,2.04,43.64133008,-79.4230553,2430,0.813624225,100.00
2012-02-19,FALSE,Entertainment District,Condominium,Private room,Real Bed,strict_14_with_grace_period,2,2,1,1,1,800,60,50.00,3,90,93,1.18,43.64895474,-79.38800202,2423,0.694313126,89.00
2012-02-26,FALSE,Palmerston/Little Italy,Apartment,Entire home/apt,Real Bed,moderate,1,1,1,1,1,100,57.72810448,0.00,7,20,91,0.26,43.66194703,-79.41141401,2416,0.460772225,91.00
2010-07-20,FALSE,Parkdale,House,Entire home/apt,Real Bed,strict_14_with_grace_period,3,5,1,2,3,0,125,25.00,28,53,95,0.71,43.6354037,-79.43853823,3002,0.684936731,150.00
2012-02-27,FALSE,The Beaches,House,Entire home/apt,Real Bed,strict_14_with_grace_period,3,6,1.5,2,2,650,130,35.00,1,1,80,0.07,43.67112958,-79.2983932,2415,0.573028442,299.00
2011-08-24,TRUE,Fashion District,Loft,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,1500,120,50.00,3,9,98,0.17,43.6434059,-79.40045768,2602,0.731778843,190.00
2012-03-07,FALSE,Roncesvalles,Apartment,Entire home/apt,Real Bed,moderate,1,4,1,2,2,500,50,50.00,1,6,95,0.08,43.64142548,-79.43130583,2406,0.722408935,300.00
2012-03-11,TRUE,Rosedale,House,Entire home/apt,Real Bed,moderate,2,8,3.5,3,4,500,150,0.00,7,1,100,0.02,43.67423011,-79.37027637,2402,0.674915526,651.00
2012-03-12,TRUE,Danforth Village,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,200,25,60.00,2,26,93,0.5,43.67980168,-79.34217753,2401,0.654151605,125.00
2012-03-13,FALSE,Kensington Market,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,2,2,1,1,1,0,73,0.00,1,191,92,2.41,43.65431705,-79.39847076,2400,0.684936731,113.00
2012-03-13,TRUE,Entertainment District,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,78,2,1,0,1,500,57.72810448,10.00,28,8,88,0.12,43.64878287,-79.38690653,2400,0.684936731,149.00
2012-03-14,FALSE,Downtown Toronto,House,Private room,Real Bed,strict_14_with_grace_period,1,2,1.5,1,1,0,57.72810448,0.00,7,0,92,0,43.67144381,-79.3768508,2399,0.492153407,65.00
2012-03-18,FALSE,Downtown Toronto,Townhouse,Private room,Real Bed,moderate,6,3,1,1,1,0,0,20.00,1,620,96,7.8,43.65765205,-79.36281325,2395,0.837016211,65.00
2012-03-21,TRUE,Roncesvalles,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,6,2,3,3,250,120,50.00,3,9,93,0.14,43.64282571,-79.44686247,2392,0.821636602,300.00
2011-06-28,TRUE,Swansea,Condominium,Private room,Real Bed,strict_14_with_grace_period,1,3,1,1,1,150,57.72810448,25.00,1,36,99,0.48,43.63635161,-79.47099267,2659,0.731778843,59.00
2010-08-08,TRUE,Rosedale,Apartment,Private room,Real Bed,strict_14_with_grace_period,19,2,1,1,1,0,60,40.00,1,3,100,0.05,43.67149036,-79.38611433,2983,0.52441118,120.00
2012-03-04,FALSE,Flemingdon Park,House,Private room,Real Bed,moderate,14,1,1,1,1,125,25,0.00,3,22,88,0.35,43.72028784,-79.33472704,2409,0.52441118,40.00
2012-04-02,FALSE,Downtown Toronto,Loft,Entire home/apt,Real Bed,strict_14_with_grace_period,2,2,1,1,1,300,57.72810448,38.00,3,57,91,0.75,43.66419874,-79.38464653,2380,0.892575204,189.00
2012-04-05,TRUE,Davisville,Apartment,Shared room,Futon,strict_14_with_grace_period,2,2,1,1,1,150,15,15.00,1,80,94,1.07,43.69843848,-79.39433822,2377,0.881382203,45.00
2012-04-06,TRUE,Dufferin Grove,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,200,60,25.00,7,3,99,0.05,43.65395271,-79.43132209,2376,0.476334589,65.00
2011-02-05,TRUE,The Danforth,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,11,3,1,1,1,0,40,0.00,2,34,90,0.44,43.68498626,-79.29131086,2802,0.52441118,69.00
2011-11-21,FALSE,Garden District,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,3,5,1.5,3,3,750,135,45.00,2,184,94,2.71,43.66169823,-79.37496217,2513,0.731778843,195.00
2012-04-21,TRUE,Bayview,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,2,4,2,2,2,500,120,25.00,5,7,96,0.09,43.79014108,-79.38902986,2361,0.573028442,120.00
2012-04-04,TRUE,Harbourfront,Apartment,Private room,Real Bed,flexible,1,1,0,1,1,0,20,30.00,3,18,90,0.23,43.63817525,-79.3919991,2378,0.55691431,30.00
2010-08-13,TRUE,Downtown Toronto,House,Private room,Real Bed,strict_14_with_grace_period,1,2,1,1,1,500,57.72810448,0.00,2,1,20,0.02,43.65646198,-79.40309574,2978,0.589558077,200.00
2011-11-13,FALSE,Parkdale,House,Entire home/apt,Real Bed,strict_14_with_grace_period,6,10,2,5,5,1000,145,20.00,1,155,97,3.06,43.63926571,-79.43032824,2521,0.805421972,250.00
2012-04-30,TRUE,Garden District,Condominium,Private room,Real Bed,strict_14_with_grace_period,3,2,1,1,1,0,57.72810448,0.00,1,247,99,3.18,43.6607781,-79.38051661,2352,0.919710191,91.00
2011-05-15,TRUE,Cedarvale Humewood,House,Entire home/apt,Real Bed,strict_14_with_grace_period,2,4,1,2,2,150,100,40.00,30,9,98,0.12,43.68697835,-79.42234471,2703,0.508212521,140.00
2012-05-01,FALSE,Woodbine Corridor,House,Private room,Real Bed,strict_14_with_grace_period,4,1,1,1,1,0,57.72810448,0.00,30,12,100,0.23,43.67740931,-79.3107898,2351,0.788070176,27.00
2012-02-24,FALSE,Garden District,Aparthotel,Private room,Real Bed,moderate,3,3,2,1,1,500,0,10.00,30,7,97,0.11,43.65475248,-79.37934007,2418,0.892575204,305.00
2012-05-04,FALSE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,flexible,1,5,1,2,2,517,57.72810448,0.00,360,0,92,0,43.66882676,-79.38365165,2348,0.382695564,194.00
