host_since,host_identity_verified,neighbourhood,property_type,room_type,bed_type,cancellation_policy,host_listings_count,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,latitude,longitude,days,needsIndex,price
2014-05-10,FALSE,Yonge Eglinton,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,1,1,0,57.72810448,0.00,1,3,93,0.11,43.70283428,-79.40751457,1612,0.540691979,85.00
2016-05-30,TRUE,Greek Town,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,750,33,0.00,3,28,99,1,43.68024933,-79.36097588,861,0.674915526,94.00
2012-07-02,TRUE,Trinity-Bellwoods,Loft,Entire home/apt,Real Bed,strict_14_with_grace_period,1,4,1,1,2,2000,80,25.00,3,18,95,0.64,43.64934931,-79.41101072,2289,0.722408935,250.00
2013-12-24,TRUE,Garden District,Apartment,Shared room,Couch,flexible,1,1,1,1,1,0,57.72810448,0.00,1,0,92,0,43.65934107,-79.37935466,1749,0.605980562,45.00
2016-05-30,FALSE,Glen Park,Bungalow,Private room,Real Bed,moderate,1,1,1,1,1,150,50,0.00,30,8,100,0.57,43.70563773,-79.44164268,861,0.770066708,50.00
2015-06-05,TRUE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,250,75,0.00,4,21,98,0.75,43.65417382,-79.37145354,1221,0.643217553,149.00
2013-08-15,TRUE,Yonge Eglinton,Apartment,Private room,Real Bed,strict_14_with_grace_period,1,2,1,1,1,250,25,0.00,1,5,96,0.19,43.71082083,-79.405108,1880,0.643217553,80.00
2016-05-31,TRUE,Oakwood,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,40,0.00,2,44,95,1.54,43.68184126,-79.43764582,860,0.684936731,59.00
2014-04-12,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,19,6,1,2,3,500,125,50.00,2,16,89,0.56,43.64088016,-79.39248518,1640,0.919710191,149.00
2016-04-30,TRUE,Willowdale,Apartment,Private room,Real Bed,flexible,1,1,1,1,1,125,10,0.00,1,1,100,0.04,43.75854732,-79.40499142,891,0.619765611,80.00
2016-02-14,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,flexible,4,4,1,1,2,200,40,0.00,3,1,100,0.04,43.64796535,-79.39328065,967,0.703663971,88.00
2012-05-16,TRUE,Parkdale,Condominium,Entire home/apt,Real Bed,moderate,1,2,1,1,1,300,80,0.00,9,18,98,0.65,43.64105532,-79.42214335,2336,0.805421972,156.00
2016-05-31,TRUE,Niagara,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,80,0.00,2,12,97,0.44,43.64176172,-79.41584859,860,0.619765611,150.00
2016-05-01,TRUE,Niagara,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,150,50,0.00,2,128,94,4.68,43.64605817,-79.40969469,890,0.703663971,65.00
2013-01-04,TRUE,The Pocket,House,Entire home/apt,Real Bed,moderate,1,4,1,1,2,0,40,0.00,3,7,80,0.25,43.68018323,-79.33187972,2103,0.589558077,65.00
2015-11-25,FALSE,Willowdale,House,Entire home/apt,Real Bed,flexible,1,4,1,2,2,0,57.72810448,0.00,1,1,100,0.04,43.77524065,-79.4196296,1048,0.55691431,100.00
2014-12-21,FALSE,Armour Heights,Apartment,Private room,Real Bed,flexible,1,1,1,1,1,0,57.72810448,0.00,1,1,80,0.04,43.74509734,-79.43470122,1387,0.605980562,39.00
2016-05-31,TRUE,Parkdale,Condominium,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,57.72810448,0.00,2,42,96,2.64,43.64167231,-79.42374085,860,0.844449108,115.00
2014-09-01,FALSE,Riverdale,House,Private room,Real Bed,flexible,2,2,1.5,1,1,0,7,0.00,1,17,99,0.6,43.66759803,-79.32662345,1498,0.694313126,78.00
2014-07-11,FALSE,Dufferin Grove,Apartment,Entire home/apt,Real Bed,moderate,1,4,1,1,2,0,60,20.00,2,10,96,0.36,43.65952061,-79.43024827,1550,0.881382203,109.00
2011-04-25,FALSE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,flexible,47,2,1,1,1,150,75,0.00,2,78,85,2.86,43.65722755,-79.3846841,2723,0.788070176,131.00
2012-07-25,FALSE,Downtown Toronto,Condominium,Private room,Real Bed,flexible,1,2,1,1,1,0,0,15.00,1,15,95,2.57,43.64076129,-79.39784741,2266,0.674915526,80.00
2016-06-01,FALSE,Clairlea,Townhouse,Private room,Real Bed,flexible,1,1,1,1,1,300,40,30.00,1,0,92,0,43.70827917,-79.2784802,859,0.654151605,44.00
2012-04-06,FALSE,Toronto Islands,Boat,Entire home/apt,Real Bed,flexible,2,4,1,2,2,0,57.72810448,0.00,30,1,100,0.61,43.62184288,-79.38303473,2376,0.605980562,100.00
2014-09-17,FALSE,Woodbine Corridor,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,1,1,150,25,0.00,2,0,92,0,43.68627862,-79.31650372,1482,0.55691431,70.00
2016-02-08,FALSE,Roncesvalles,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,1,1,0,40,16.00,1,126,96,4.58,43.64376874,-79.45219515,973,0.750769534,67.00
2013-07-23,TRUE,Downtown Toronto,Townhouse,Private room,Real Bed,strict_14_with_grace_period,1,1,1.5,1,1,250,40,0.00,2,44,99,1.56,43.64925065,-79.4036782,1903,0.770066708,65.00
2014-09-09,TRUE,Trinity-Bellwoods,House,Private room,Real Bed,strict_14_with_grace_period,1,1,1,1,1,0,10,50.00,1,117,93,4.12,43.64867047,-79.4081628,1490,0.694313126,56.00
2013-12-30,FALSE,Little Portugal,Apartment,Private room,Real Bed,flexible,1,2,1,1,1,125,10,0.00,1,0,92,0,43.65225547,-79.42592553,1743,0.573028442,34.00
2016-06-01,FALSE,Downtown Toronto,Apartment,Private room,Real Bed,strict_14_with_grace_period,1,1,1,1,1,200,15,0.00,99,0,92,0,43.65916719,-79.40218478,859,0.605980562,52.00
2016-04-12,TRUE,West Humber,Bungalow,Private room,Real Bed,strict_14_with_grace_period,3,2,1,1,1,0,57.72810448,15.00,1,32,95,1.15,43.72305416,-79.58337185,909,0.643217553,53.00
2014-11-23,TRUE,Harbourfront,Apartment,Private room,Real Bed,flexible,1,2,1,1,1,140,20,0.00,1,1,60,0.04,43.63759722,-79.38974543,1415,0.605980562,70.00
2013-07-03,TRUE,Parkdale,Apartment,Entire home/apt,Real Bed,flexible,2,2,1,2,2,125,20,10.00,2,12,80,0.43,43.63871335,-79.43759746,1923,0.540691979,59.00
2014-04-30,FALSE,The Annex,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,1,1,125,50,0.00,2,1,92,0.04,43.66886577,-79.40742702,1622,0.460772225,120.00
2012-12-23,FALSE,Garden District,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,4,2,1,0,1,300,75,0.00,3,7,97,0.25,43.65487072,-79.37892787,2115,0.863683033,153.00
2016-06-02,TRUE,Harbourfront,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,4,2,2,2,1035,103,0.00,3,91,96,3.26,43.6411384,-79.38056322,858,0.869995519,327.00
2014-08-01,TRUE,Woodbine Corridor,House,Entire home/apt,Real Bed,moderate,1,8,2,3,4,250,85,25.00,2,2,100,0.07,43.67902012,-79.31827544,1529,0.796838794,200.00
2016-02-14,FALSE,Woodbine Corridor,Apartment,Private room,Pull-out Sofa,moderate,3,1,1,1,1,0,8,0.00,1,114,97,4,43.68483183,-79.3169158,967,0.674915526,56.00
2015-06-19,FALSE,Entertainment District,Condominium,Private room,Real Bed,moderate,1,2,1,1,1,0,40,0.00,2,53,98,1.94,43.64775368,-79.39372953,1207,0.788070176,100.00
2013-02-19,FALSE,Westminster/Branson,Apartment,Private room,Real Bed,moderate,1,1,1,1,1,400,40,15.00,1,1,100,0.15,43.75294926,-79.45765784,2057,0.643217553,30.00
2016-04-09,TRUE,Glen Park,Condominium,Entire home/apt,Real Bed,flexible,1,4,1.5,2,2,0,40,0.00,3,2,100,0.08,43.71388787,-79.45045218,912,0.643217553,160.00
2015-12-02,FALSE,Willowdale,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,12,3,1,1,1,300,35,0.00,3,46,95,1.65,43.76094234,-79.41034361,1041,0.713114205,135.00
2015-07-02,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,3,8,1,2,4,300,60,0.00,1,18,92,0.68,43.64176804,-79.39149887,1194,0.821636602,199.00
2011-06-22,TRUE,Palmerston/Little Italy,House,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,50,0.00,7,2,100,0.09,43.65603256,-79.41596315,2665,0.805421972,91.00
2014-04-19,FALSE,Keelesdale,House,Private room,Real Bed,flexible,20,1,1,1,1,0,125,100.00,1,5,88,0.19,43.68820245,-79.46674523,1633,0.619765611,25.00
2013-06-28,TRUE,Niagara,Condominium,Entire home/apt,Real Bed,moderate,1,2,1,1,1,150,25,0.00,1,4,90,0.14,43.63799033,-79.41408329,1928,0.703663971,115.00
2016-06-03,FALSE,Old East York,Loft,Private room,Real Bed,flexible,1,1,0.5,1,1,150,57.72810448,0.00,1,0,92,0,43.69202818,-79.34185907,857,0.508212521,56.00
2016-06-04,FALSE,Greenwood-Coxwell,House,Private room,Pull-out Sofa,moderate,1,2,1,1,1,175,25,0.00,2,13,95,0.46,43.68009705,-79.32966427,856,0.540691979,35.00
2014-08-31,FALSE,Wallace Emerson,House,Entire home/apt,Real Bed,flexible,1,4,1,1,1,100,25,0.00,2,1,92,0.04,43.66223284,-79.44104377,1499,0.605980562,85.00
2016-06-04,FALSE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,flexible,1,1,2,2,1,0,57.72810448,0.00,1,0,92,0,43.6603261,-79.36230749,856,0.492153407,65.00
2011-04-25,FALSE,Newtonbrook,Apartment,Entire home/apt,Real Bed,flexible,47,4,1,1,2,150,75,0.00,1,12,85,0.71,43.78343053,-79.41314587,2723,0.684936731,91.00
2014-07-18,TRUE,Newtonbrook,House,Entire home/apt,Real Bed,flexible,3,2,1,0,3,200,20,30.00,7,10,98,0.35,43.77940928,-79.42332813,1543,0.619765611,72.00
2012-03-13,FALSE,Wexford/Maryvale,House,Entire home/apt,Real Bed,moderate,1,2,1,2,2,500,57.72810448,0.00,90,3,90,0.12,43.74476526,-79.3091108,2400,0.694313126,50.00
2014-04-19,FALSE,Keelesdale,House,Private room,Real Bed,flexible,20,1,1,1,1,0,125,100.00,1,6,97,0.23,43.68925394,-79.46827427,1633,0.63241182,22.00
2012-05-27,FALSE,Willowdale,House,Private room,Real Bed,moderate,57,2,1,1,1,150,40,10.00,1,38,92,1.35,43.75954891,-79.40493538,2325,0.540691979,32.00
2015-03-16,FALSE,Davisville,Condominium,Entire home/apt,Real Bed,flexible,1,3,1.5,1,1,150,7,0.00,2,45,99,1.6,43.69689163,-79.39493201,1302,0.674915526,91.00
2015-09-09,TRUE,Wallace Emerson,Condominium,Private room,Real Bed,strict_14_with_grace_period,1,2,1,1,1,150,20,0.00,1,4,100,1.43,43.66565222,-79.44696248,1125,0.643217553,39.00
2016-06-05,TRUE,Davisville,Apartment,Private room,Real Bed,moderate,1,2,1,1,1,125,10,0.00,2,19,96,0.69,43.7110912,-79.3982654,855,0.654151605,40.00
2016-04-20,FALSE,The Pocket,House,Entire home/apt,Real Bed,flexible,1,2,1,1,1,300,100,0.00,7,0,92,0,43.67775509,-79.33632252,901,0.63241182,125.00
2016-06-05,FALSE,Rockcliffe Smythe,Apartment,Entire home/apt,Real Bed,flexible,1,3,1,1,1,0,57.72810448,0.00,2,0,92,0,43.66690314,-79.50033258,855,0.55691431,80.00
2016-04-29,TRUE,The Pocket,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,3,1,1,2,0,30,30.00,2,139,98,5.1,43.67834849,-79.33893568,892,0.731778843,85.00
2016-06-05,FALSE,Clairlea,Townhouse,Private room,Real Bed,flexible,2,2,1,1,1,0,20,15.00,2,58,94,2.26,43.7054192,-79.27693275,855,0.63241182,45.00
2015-01-23,TRUE,Dovercourt Park,House,Entire home/apt,Real Bed,moderate,2,6,1,2,3,0,57.72810448,25.00,2,3,93,0.12,43.66809287,-79.43317947,1354,0.654151605,125.00
2016-01-09,FALSE,Kensington Market,House,Entire home/apt,Real Bed,strict_14_with_grace_period,5,2,1,1,1,131,30,20.00,1,149,88,5.32,43.6548787,-79.40455168,1003,0.643217553,58.00
2016-06-05,TRUE,Lambton Baby Point,House,Entire home/apt,Real Bed,strict_14_with_grace_period,3,1,1,1,1,123,20,0.00,2,13,92,0.46,43.65633374,-79.48881447,855,0.619765611,40.00
2016-06-05,TRUE,Clairlea,Apartment,Private room,Real Bed,strict_14_with_grace_period,2,2,1,1,1,200,18,22.00,4,9,93,0.34,43.71549581,-79.26098996,855,0.52441118,49.00
2016-06-05,FALSE,Don Valley Village,Bungalow,Private room,Real Bed,flexible,1,2,2,1,1,100,20,0.00,1,2,100,0.08,43.78646397,-79.34344249,855,0.674915526,59.00
2016-05-29,FALSE,Long Branch,Condominium,Entire home/apt,Real Bed,flexible,1,2,2,1,2,123,10,0.00,1,1,100,0.04,43.59511264,-79.52712907,862,0.643217553,53.00
2011-08-24,TRUE,Wallace Emerson,Guest suite,Entire home/apt,Real Bed,strict_14_with_grace_period,3,2,1,1,1,500,75,20.00,28,24,98,0.88,43.66290473,-79.44290624,2602,0.829436438,75.00
2015-06-08,TRUE,Palmerston/Little Italy,Apartment,Entire home/apt,Real Bed,moderate,3,4,1,2,4,0,125,0.00,6,41,95,1.51,43.66047607,-79.41279553,1218,0.654151605,190.00
2014-12-05,FALSE,Danforth Village,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,1,1,0,25,0.00,2,7,94,0.26,43.68454144,-79.3376524,1403,0.760408209,75.00
2015-11-03,FALSE,Riverdale,Loft,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,312,78,0.00,3,4,90,0.15,43.66531036,-79.34240995,1070,0.844449108,114.00
2016-06-05,TRUE,Niagara,Loft,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1.5,1,1,500,57.72810448,0.00,20,3,73,0.11,43.64346539,-79.40807805,855,0.664940375,75.00
2016-06-05,FALSE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,57.72810448,0.00,1,165,90,5.84,43.65547651,-79.39978326,855,0.674915526,88.00
2015-02-01,TRUE,Parkdale,Condominium,Entire home/apt,Real Bed,moderate,2,3,1,1,1,0,57.72810448,0.00,30,3,100,0.11,43.64266306,-79.4245616,1345,0.508212521,1999.00
2015-06-07,FALSE,Fashion District,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,450,60,20.00,7,5,100,0.18,43.64117343,-79.40076525,1219,0.684936731,131.00
2012-02-05,FALSE,Downtown Toronto,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,500,40,20.00,2,16,99,0.58,43.66606028,-79.37490846,2437,0.760408209,135.00
2015-01-28,TRUE,Roncesvalles,House,Private room,Futon,strict_14_with_grace_period,2,1,1,1,1,150,40,15.00,6,20,93,0.73,43.64421775,-79.44369503,1349,0.750769534,41.00
2014-06-16,TRUE,Davisville,Apartment,Private room,Real Bed,flexible,1,1,1,1,1,0,57.72810448,0.00,10,2,100,0.07,43.7056826,-79.39302417,1575,0.540691979,35.00
2015-07-22,TRUE,Parkdale,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,250,25,10.00,2,4,93,0.15,43.63652314,-79.43065536,1174,0.605980562,70.00
2012-06-23,TRUE,Broadview North,House,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,25,15.00,1,148,97,5.61,43.68470619,-79.35443851,2298,0.731778843,63.00
2016-06-06,FALSE,Davisville,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,0,2,0,57.72810448,0.00,10,1,100,0.04,43.7063567,-79.3972556,854,0.540691979,69.00
2016-01-01,FALSE,Wallace Emerson,House,Private room,Real Bed,strict_14_with_grace_period,2,2,1,1,1,200,35,25.00,2,51,98,1.83,43.66327677,-79.4421273,1011,0.694313126,47.00
2016-06-06,FALSE,Dovercourt Park,House,Private room,Real Bed,strict_14_with_grace_period,3,2,1,1,1,200,30,10.00,1,51,88,1.95,43.66717076,-79.42883675,854,0.540691979,41.00
2013-04-11,TRUE,Trinity-Bellwoods,Apartment,Private room,Real Bed,strict_14_with_grace_period,2,2,1,1,1,150,50,0.00,5,17,100,0.87,43.64408126,-79.41992913,2006,0.760408209,75.00
2016-01-19,TRUE,The Annex,Apartment,Entire home/apt,Real Bed,moderate,2,4,2,2,2,0,57.72810448,0.00,2,7,97,0.25,43.67228254,-79.41192314,993,0.605980562,198.00
2016-06-06,FALSE,Entertainment District,Condominium,Private room,Real Bed,flexible,1,2,1,1,1,252,27,27.00,1,3,100,0.11,43.6455561,-79.39314652,854,0.63241182,67.00
2016-05-18,FALSE,Palmerston/Little Italy,Apartment,Private room,Real Bed,flexible,2,2,1,1,1,0,57.72810448,0.00,1,0,92,0,43.66153237,-79.42766078,873,0.573028442,103.00
2012-09-12,FALSE,The Beaches,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,6,1,3,4,200,100,0.00,3,3,80,0.11,43.67356834,-79.30567229,2217,0.741246136,185.00
2016-06-07,FALSE,High Park North,Apartment,Private room,Real Bed,moderate,1,2,1,1,1,500,50,0.00,7,1,100,0.04,43.65988166,-79.46013369,853,0.643217553,150.00
2012-04-29,FALSE,The Annex,Apartment,Private room,Real Bed,flexible,1,2,1,1,1,0,15,10.00,1,6,93,0.21,43.67112279,-79.40630797,2353,0.605980562,56.00
2013-08-31,FALSE,Little Portugal,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,1,1,0,35,0.00,2,2,90,0.09,43.64841952,-79.43229939,1864,0.643217553,91.00
2016-06-07,TRUE,Palmerston/Little Italy,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,3,1,1,1,323,52,0.00,3,13,78,0.48,43.66129227,-79.42156707,853,0.573028442,97.00
2016-06-07,TRUE,Fashion District,Condominium,Entire home/apt,Real Bed,moderate,1,2,1,1,1,250,30,0.00,2,21,98,0.75,43.64404183,-79.39846934,853,0.684936731,131.00
2014-12-02,TRUE,Downtown Toronto,Loft,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,1000,50,25.00,15,41,95,1.47,43.6612239,-79.36900633,1406,0.796838794,116.00
2016-06-07,FALSE,Ionview,Other,Private room,Real Bed,moderate,2,2,1,1,1,250,50,50.00,2,1,80,0.07,43.74501633,-79.26537968,853,0.703663971,58.00
2016-05-20,FALSE,Yonge Eglinton,House,Private room,Real Bed,flexible,1,2,1,1,1,123,39,0.00,2,0,92,0,43.70629442,-79.40854696,871,0.605980562,155.00
2015-08-19,TRUE,Downtown Toronto,Apartment,Private room,Real Bed,moderate,2,1,1,1,1,0,15,39.00,3,19,96,0.75,43.65746932,-79.4029845,1146,0.619765611,49.00
2013-07-12,TRUE,Parkdale,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,3,2,1,1,1,200,57.72810448,0.00,6,6,84,0.31,43.63700062,-79.43878235,1914,0.643217553,89.00
2015-03-06,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,moderate,5,7,2,2,4,600,60,20.00,2,66,96,4.17,43.64337186,-79.38326196,1312,0.923748247,300.00
2016-06-07,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,moderate,1,4,1,2,3,400,75,15.00,1,140,97,8.22,43.6406936,-79.3921702,853,0.857380442,190.00
2016-02-21,FALSE,Greek Town,House,Private room,Real Bed,moderate,2,2,1,1,1,129,60,17.00,3,6,90,0.23,43.6802734,-79.35349854,960,0.722408935,41.00
2014-04-19,FALSE,Keelesdale,House,Private room,Real Bed,flexible,20,1,1,1,1,0,125,100.00,1,4,100,0.14,43.68880102,-79.4685362,1633,0.63241182,25.00
2011-06-01,TRUE,Wallace Emerson,Townhouse,Entire home/apt,Real Bed,strict_14_with_grace_period,1,5,2,2,2,500,57.72810448,0.00,2,15,97,0.55,43.66143538,-79.4537874,2686,0.750769534,250.00
2014-12-17,FALSE,Greenwood-Coxwell,Guest suite,Entire home/apt,Real Bed,strict_14_with_grace_period,2,2,1,1,1,0,35,40.00,2,21,94,0.76,43.66980993,-79.32413209,1391,0.605980562,75.00
2015-05-26,TRUE,Entertainment District,Apartment,Entire home/apt,Real Bed,flexible,1,4,1,1,2,447,45,0.00,3,2,90,0.07,43.64335973,-79.39259303,1231,0.694313126,125.00
2013-04-27,TRUE,Trinity-Bellwoods,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,1,1,250,100,0.00,3,28,99,1.03,43.64413676,-79.41955454,1990,0.684936731,129.00
2016-06-08,FALSE,Broadview North,House,Private room,Real Bed,flexible,1,2,1,1,1,0,30,0.00,2,0,92,0,43.68315603,-79.34705754,852,0.643217553,75.00
2013-12-27,FALSE,Kensington Market,Apartment,Private room,Real Bed,flexible,1,2,1,1,1,140,7,0.00,1,15,97,0.69,43.6553177,-79.4037436,1746,0.643217553,70.00
2016-06-08,FALSE,Broadview North,Townhouse,Entire home/apt,Real Bed,moderate,1,4,2.5,4,4,250,50,0.00,7,2,100,0.13,43.68571511,-79.34862566,852,0.55691431,125.00
2016-02-15,FALSE,Keelesdale,Guest suite,Entire home/apt,Real Bed,flexible,2,2,1,1,2,180,75,8.00,2,7,70,0.26,43.68381569,-79.46618075,966,0.796838794,78.00
2016-06-08,FALSE,Long Branch,House,Entire home/apt,Real Bed,flexible,1,4,1.5,2,2,200,50,0.00,4,15,96,0.54,43.58671291,-79.54168399,852,0.684936731,200.00
2013-12-20,TRUE,Niagara,Apartment,Entire home/apt,Real Bed,flexible,1,2,1,0,1,0,57.72810448,0.00,5,0,92,0,43.64307218,-79.4032651,1753,0.382695564,300.00
2015-02-03,TRUE,Entertainment District,Apartment,Entire home/apt,Real Bed,flexible,2,5,2,2,2,225,30,60.00,2,1,100,0.04,43.64265229,-79.38240358,1343,0.654151605,199.00
2010-02-23,TRUE,The Annex,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,1,1,500,130,25.00,60,4,93,0.15,43.67467155,-79.39009098,3149,0.788070176,380.00
2012-10-10,TRUE,Trinity-Bellwoods,House,Entire home/apt,Real Bed,flexible,1,4,2,2,2,300,50,0.00,3,4,95,0.15,43.65186778,-79.41617958,2189,0.619765611,200.00
2015-04-12,FALSE,Entertainment District,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,2,4,1,1,2,350,80,0.00,3,33,91,1.19,43.64094752,-79.38243152,1275,0.664940375,175.00
2016-06-08,FALSE,Woodbine Corridor,House,Private room,Real Bed,flexible,1,1,1,1,1,0,15,0.00,1,1,100,0.04,43.68486438,-79.31300493,852,0.643217553,50.00
2014-08-26,TRUE,Parkdale,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,0,1,150,30,15.00,1,75,90,2.78,43.63579603,-79.42724391,1504,0.722408935,65.00
2015-08-05,TRUE,Financial District,Condominium,Entire home/apt,Real Bed,moderate,1,2,1,1,1,0,25,20.00,2,7,89,0.28,43.6517604,-79.3825541,1160,0.654151605,127.00
2013-09-08,TRUE,Trinity-Bellwoods,Apartment,Entire home/apt,Real Bed,moderate,12,6,2,3,3,1000,110,0.00,2,59,100,2.11,43.65310645,-79.41448023,1856,0.875742681,369.00
2016-06-09,TRUE,Don Valley Village,House,Entire home/apt,Real Bed,strict_14_with_grace_period,2,4,1,2,4,250,57.72810448,0.00,5,65,95,2.32,43.78338343,-79.34115576,851,0.703663971,79.00
2016-06-09,FALSE,Jane and Finch,Apartment,Private room,Real Bed,flexible,1,2,1,1,1,150,30,0.00,1,0,92,0,43.75334021,-79.5110259,851,0.573028442,50.00
2014-09-12,TRUE,Entertainment District,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,16,4,1,1,1,500,60,25.00,3,119,98,4.31,43.64504791,-79.39265555,1487,0.722408935,159.00
2016-06-09,FALSE,Harbourfront,Condominium,Private room,Real Bed,flexible,1,1,1,1,1,200,50,0.00,7,0,92,0,43.64350832,-79.37647753,851,0.654151605,81.00
2016-06-09,FALSE,Davisville,House,Private room,Real Bed,flexible,1,1,1,1,1,150,0,10.00,1,20,95,0.73,43.70899785,-79.38760436,851,0.770066708,44.00
2014-05-28,TRUE,Palmerston/Little Italy,Townhouse,Entire home/apt,Real Bed,moderate,2,3,1,1,2,300,50,0.00,6,7,94,0.26,43.65962338,-79.41837631,1594,0.713114205,115.00
2016-06-09,FALSE,Fairbank,Apartment,Private room,Real Bed,flexible,1,2,1,1,1,0,0,20.00,1,62,98,4.86,43.67495797,-79.43500978,851,0.694313126,61.00
2016-06-09,TRUE,Clanton Park,Condominium,Private room,Futon,strict_14_with_grace_period,2,2,1,1,1,500,15,15.00,3,19,99,0.67,43.73206069,-79.43809559,851,0.664940375,35.00
2014-12-30,FALSE,Mount Dennis,Townhouse,Private room,Real Bed,flexible,1,2,2.5,1,1,350,57.72810448,0.00,1,0,92,0,43.69112104,-79.50743658,1378,0.664940375,75.00
2016-06-10,TRUE,Parkdale,Condominium,Private room,Real Bed,moderate,1,3,1,1,1,129,13,0.00,2,0,92,0,43.64092272,-79.42389216,850,0.654151605,45.00
2014-12-30,TRUE,Niagara,Apartment,Entire home/apt,Real Bed,flexible,1,5,2,2,2,1000,30,0.00,3,0,92,0,43.64106721,-79.41344495,1378,0.654151605,149.00
2013-09-08,TRUE,Trinity-Bellwoods,Apartment,Entire home/apt,Real Bed,moderate,12,4,2,2,2,1000,90,0.00,2,16,100,0.59,43.65293423,-79.41401769,1856,0.935296465,288.00
2014-01-09,TRUE,Entertainment District,Apartment,Entire home/apt,Real Bed,moderate,1,3,1,1,1,300,55,0.00,1,14,96,0.5,43.64938237,-79.39273734,1733,0.694313126,110.00
2012-11-07,TRUE,Downtown Toronto,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,1,5,2,2,2,500,100,0.00,3,21,95,0.75,43.66901163,-79.3860362,2161,0.863683033,450.00
2016-06-10,FALSE,Niagara,Loft,Entire home/apt,Real Bed,flexible,1,2,1.5,1,1,0,50,0.00,1,21,97,0.76,43.63655716,-79.41910366,850,0.684936731,200.00
2013-05-22,TRUE,Downtown Toronto,House,Entire home/apt,Real Bed,moderate,1,8,2,3,3,250,119,50.00,2,9,93,0.32,43.6490716,-79.40156174,1965,0.722408935,325.00
2014-12-05,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,6,3,1,1,1,300,75,25.00,5,28,99,1.06,43.64349093,-79.38842164,1403,0.722408935,210.00
2016-06-10,FALSE,Willowdale,House,Private room,Real Bed,flexible,5,2,1,1,1,0,0,15.00,1,37,95,2.66,43.77624573,-79.4217627,850,0.476334589,45.00
2016-06-10,TRUE,Downtown Toronto,House,Private room,Real Bed,moderate,5,3,1,1,1,250,40,25.00,1,66,99,2.39,43.66767227,-79.38313503,850,0.684936731,110.00
2016-06-10,FALSE,Parkdale,Serviced apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,4,2,1,1,1,350,150,0.00,30,3,100,0.11,43.64109101,-79.42444781,850,0.760408209,125.00
2016-06-11,TRUE,Little Portugal,Apartment,Entire home/apt,Real Bed,moderate,1,2,1,0,1,123,32,13.00,2,102,95,3.63,43.65115107,-79.43504193,849,0.703663971,78.00
2013-11-17,FALSE,The Annex,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,2,1,0,1,0,30,0.00,4,12,92,0.44,43.66930996,-79.3994822,1786,0.684936731,91.00
